# File count for Images_from_Nordiska_museet
month	new_files
2007-05	1
2008-12	1
2009-01	1
2009-08	4
2009-10	1
2010-01	4
2010-02	2
2010-03	6
2010-04	1
2010-06	9
2010-07	1
2010-08	1
2010-11	9
2011-02	64
2011-03	945
2011-07	37
2011-08	11
2011-09	1
2011-11	1
2011-12	1
2012-09	1
2012-11	3
2013-03	357
2013-08	1
2013-09	1
2013-11	28
2013-12	1
2014-07	3
2014-10	32
2014-11	1
2015-02	1
2015-03	1079
2015-04	1
2015-06	25
2015-09	6
2015-11	2
2015-12	2
2016-01	39
2016-04	1
2016-05	2
2016-07	1
2016-11	9
2017-03	2
2017-09	1
2017-11	7
2017-12	774
2018-01	2
2018-03	51
2018-04	125
2018-09	1
2018-10	25
2018-11	14
2018-12	8053
2019-01	93
2019-04	7
2019-06	270
2019-07	2
2019-09	1
2019-10	2
2019-11	2
2019-12	2
2020-02	1
2020-03	2
2020-04	14
2020-10	4
2020-11	2
2020-12	1610
2021-01	3
2021-02	1
2021-10	5
2022-01	1
2022-02	3
2022-06	21
2023-01	257
2023-02	481
2023-03	286
2023-04	20
2023-05	1609
2023-06	1
2023-08	2
2023-09	1
2023-10	1049
2023-11	2207
2023-12	88
